v1;v2;correlacao;correlacao_absoluta
condado_qtd_habitantes;total_extra_data_charges;0.008909490268706287;0.008909490268706287
tx_valores_reembolsados;condado_idade_mediana_habitantes;0.008707529229253731;0.008707529229253731
condado_qtd_habitantes;avg_monthly_long_distance_charges;-0.00868971630598572;0.00868971630598572
valor_cobranca_geral;condado_tx_habitantes_menor_18_anos;0.008540092003803793;0.008540092003803793
condado_tx_habitantes_menor_18_anos;total_charges;0.00847843946074266;0.00847843946074266
tx_contrib_cobrancas_extras_cobranca_geral;condado_idade_mediana_habitantes;0.008397579784274904;0.008397579784274904
condado_tx_habitantes_homens;total_refunds;-0.008183541878526405;0.008183541878526405
cltv;total_refunds;0.007991674303778343;0.007991674303778343
qtd_streamings;condado_idade_mediana_habitantes;-0.00798662041676587;0.00798662041676587
qtd_streamings;condado_area_terra_m2;0.00792016607387606;0.00792016607387606
condado_tx_habitantes_homens;tenure_in_months;0.0077189388604574135;0.0077189388604574135
tx_valores_reembolsados;condado_tx_habitantes_homens;-0.007711323580221766;0.007711323580221766
condado_tx_habitantes_menor_18_anos;number_of_referrals;0.007661039960587977;0.007661039960587977
qtd_servicos_adicionais;condado_tx_habitantes_homens;0.007598821456531395;0.007598821456531395
tx_valores_reembolsados;condado_qtd_habitantes;0.007562673098313701;0.007562673098313701
qtd_streamings;age;-0.007532313854041262;0.007532313854041262
condado_idade_mediana_habitantes;age;-0.00748425208657124;0.00748425208657124
tx_valores_reembolsados;number_of_referrals;-0.007450774739269118;0.007450774739269118
condado_indice_gini_desigualdade_renda;tenure_in_months;-0.007343281093488804;0.007343281093488804
avg_monthly_long_distance_charges;number_of_dependents;-0.00732397412752823;0.00732397412752823
qtd_servicos_adicionais;condado_tx_habitantes_menor_18_anos;-0.007178427164876142;0.007178427164876142
valor_cobranca_geral;condado_tx_habitantes_homens;0.0071452259078644935;0.0071452259078644935
qtd_servicos_adicionais;condado_area_terra_m2;0.007109324581682967;0.007109324581682967
condado_renda_familiar_mediana;total_long_distance_charges;-0.007095972289616099;0.007095972289616099
tx_contrib_cobrancas_extras_cobranca_geral;condado_tx_habitantes_menor_18_anos;-0.007083291267408587;0.007083291267408587
condado_idade_mediana_habitantes;total_refunds;0.006953072066262249;0.006953072066262249
valor_cobranca_geral;condado_renda_familiar_mediana;-0.006852245303191441;0.006852245303191441
tx_valores_reembolsados;total_extra_data_charges;-0.00674134845804549;0.00674134845804549
valor_cobrancas_extras;condado_renda_familiar_mediana;-0.006705816642810503;0.006705816642810503
qtd_servicos_principais;condado_densidade_populacional;-0.006634216133993748;0.006634216133993748
qtd_servicos_adicionais;condado_renda_familiar_mediana;0.006538286741006882;0.006538286741006882
condado_indice_gini_desigualdade_renda;total_long_distance_charges;-0.006436537657365777;0.006436537657365777
condado_densidade_populacional;total_charges;-0.006412203567851853;0.006412203567851853
qtd_streamings;condado_tx_habitantes_homens;0.006374394604229009;0.006374394604229009
valor_cobrancas_extras;condado_indice_gini_desigualdade_renda;-0.00635651416840887;0.00635651416840887
avg_monthly_long_distance_charges;number_of_referrals;0.006336342034775551;0.006336342034775551
condado_tx_habitantes_menor_18_anos;total_long_distance_charges;0.006262198075009321;0.006262198075009321
valor_cobrancas_extras;condado_tx_habitantes_menor_18_anos;0.006196388387239718;0.006196388387239718
tx_valores_reembolsados;condado_densidade_populacional;-0.006189462045794839;0.006189462045794839
condado_qtd_habitantes;tenure_in_months;-0.006158154837031139;0.006158154837031139
condado_renda_familiar_mediana;total_charges;-0.006153514831288588;0.006153514831288588
condado_densidade_populacional;tenure_in_months;-0.0060334269581451775;0.0060334269581451775
condado_qtd_habitantes;cltv;-0.00602109564340749;0.00602109564340749
condado_tx_habitantes_menor_18_anos;total_refunds;-0.005976360781662385;0.005976360781662385
condado_renda_familiar_mediana;monthly_charge;0.0059232936505458815;0.0059232936505458815
condado_tx_habitantes_menor_18_anos;tenure_in_months;0.005865740871527068;0.005865740871527068
condado_area_terra_m2;total_long_distance_charges;0.00585346437711369;0.00585346437711369
tx_concentracao_cobranca_mes_q3;condado_idade_mediana_habitantes;-0.005807996069751759;0.005807996069751759
valor_cobrancas_extras;condado_area_terra_m2;0.0057996986634548916;0.0057996986634548916
condado_renda_familiar_mediana;number_of_dependents;0.005786405129320297;0.005786405129320297
condado_indice_gini_desigualdade_renda;number_of_dependents;0.005720917485981981;0.005720917485981981
qtd_servicos_principais;condado_qtd_habitantes;0.0056200144334192384;0.0056200144334192384
valor_cobranca_geral;condado_qtd_habitantes;-0.005604606471659355;0.005604606471659355
condado_qtd_habitantes;total_charges;-0.005382776477786524;0.005382776477786524
condado_densidade_populacional;total_refunds;-0.005340242022485486;0.005340242022485486
tx_concentracao_cobranca_mes_q3;condado_qtd_habitantes;0.005254646016530119;0.005254646016530119
condado_qtd_habitantes;number_of_dependents;-0.005168608354429861;0.005168608354429861
qtd_streamings;avg_monthly_long_distance_charges;0.005122938952903869;0.005122938952903869
condado_indice_gini_desigualdade_renda;age;0.005076606289186088;0.005076606289186088
condado_renda_familiar_mediana;tenure_in_months;-0.004939842510196869;0.004939842510196869
condado_qtd_habitantes;total_long_distance_charges;-0.0048250266744681155;0.0048250266744681155
valor_cobranca_geral;condado_area_terra_m2;0.004686543565607177;0.004686543565607177
condado_idade_mediana_habitantes;cltv;0.004569642637825503;0.004569642637825503
valor_cobrancas_extras;condado_qtd_habitantes;-0.004550910375037701;0.004550910375037701
condado_qtd_habitantes;number_of_referrals;-0.004549351368841971;0.004549351368841971
condado_densidade_populacional;cltv;-0.004435128291526823;0.004435128291526823
condado_indice_gini_desigualdade_renda;avg_monthly_long_distance_charges;-0.004387904645787108;0.004387904645787108
condado_idade_mediana_habitantes;total_charges;-0.004324000432088048;0.004324000432088048
valor_cobrancas_extras;age;0.003799135545110577;0.003799135545110577
condado_tx_habitantes_menor_18_anos;avg_monthly_long_distance_charges;0.0037971652997110137;0.0037971652997110137
condado_area_terra_m2;total_charges;0.003754372050773831;0.003754372050773831
condado_area_terra_m2;tenure_in_months;-0.0036420880231242997;0.0036420880231242997
condado_renda_familiar_mediana;avg_monthly_long_distance_charges;-0.003306741760153623;0.003306741760153623
qtd_servicos_adicionais;condado_qtd_habitantes;0.0032564646628245337;0.0032564646628245337
tx_contrib_cobrancas_extras_cobranca_geral;condado_area_terra_m2;-0.0032536702431502753;0.0032536702431502753
